顽固,wángù,stubborn; obstinate
牺牲,xīshēng,beast slaughtered as a sacrifice; to sacrifice (sth valued); to sacrifice one's life
事故,shìgù,accident
馋,chán,gluttonous; greedy; to have a craving
昂贵,ángguì,costly; expensive
栽培,zāipéi,to cultivate; to educate; to grow; to patronize; to train
牵扯,qiānchě,to be interrelated; to implicate; to involve
回收,huíshōu,to recall (a defective product); to reclaim; to recover; to recycle; to retrieve
引擎,yǐnqíng,engine (loanword)
无比,wúbǐ,incomparable; matchless
牵制,qiānzhì,to control; to curb; to impede; to pin down (enemy troops); to restrict
指望,zhǐwàng,prospect; hope; to count on; to hope for
恐吓,kǒnghè,to menace; to threaten
弦,xián,bow string; chord (segment of curve); hypotenuse; string of musical instrument; watchspring
瞪,dèng,to glare at; to open (one's eyes) wide; to stare at
侧面,cèmiàn,aspect; lateral side; profile; side
涂抹,túmǒ,to apply (makeup etc); to doodle; to erase; to obliterate; to paint; to smear
纤维,xiānwéi,fiber
狭窄,xiázhǎi,narrow
布局,bùjú,arrangement; composition; layout; opening (chess jargon)
沼泽,zhǎozé,glade; marsh; swamp; wetlands
授予,shòuyǔ,to award; to confer
阐述,chǎnshù,to elaborate (on a topic); to expound (a position); to treat (a subject)
索取,suǒqǔ,to ask; to demand
漂浮,piāofú,showy; superficial; to drift (also fig., to lead a wandering life); to float; to hover; to rove
验证,yànzhèng,experimental verification; to authenticate; to inspect and verify; to validate (a theory)
协调,xiétiáo,concerted; harmonious; to coordinate; to fit together; to harmonize; to match (colors etc)
表态,biǎotài,to declare one's position; to say where one stands
治安,zhìān,law and order; public security
敏锐,mǐnruì,keen; sharp; acute
合并,hébìng,to annex; to merge
模范,mófàn,fine example; model
寺庙,sìmiào,monastery; shrine; temple
打包,dǎbāo,(computing) to package (i.e. create an archive file); to put leftovers in a doggy bag for take-out; to wrap; to pack
器官,qìguān,(physiology) organ; apparatus
大体,dàtǐ,cadaver for dissection in training medical students; in general; more or less; in rough terms; basically; on the whole; overall situation; the big picture
消灭,xiāomiè,annihilation (in quantum field theory); to annihilate; to cause to perish; to perish; to put an end to
筹备,chóubèi,preparations; to get ready for sth
严密,yánmì,strict; tight (organization, surveillance etc)
惯例,guànlì,convention; usual practice
超越,chāoyuè,to surpass; to exceed; to transcend
弊端,bìduān,systemic problem (sometimes refers specifically to corrupt practices)
新娘,xīnniáng,bride
蛋白质,dànbáizhì,protein
要命,yàomìng,extremely; terribly; to cause sb's death
宰,zǎi,(bound form) (a title for certain government officials in ancient China); (bound form) to govern; to rule; (coll.) to fleece; to rip off; to overcharge; to slaughter; to butcher; to kill (animals etc)
焦点,jiāodiǎn,focal point; focus (lit. and fig.)
股东,gǔdōng,shareholder; stockholder
解体,jiětǐ,to break up into components; to collapse; to crumble; to disintegrate
甭,bèng,(dialect) very
甭,béng,(contraction of 不用[bu4 yong4]) need not; please don't
潜水,qiánshuǐ,(in an online forum) to lurk; to dive; to go under water
敬礼,jìnglǐ,salute; to salute
作废,zuòfèi,to become invalid; to cancel; to delete; to nullify
挣扎,zhēngzhá,to struggle
周转,zhōuzhuǎn,cash flow; circulation; to circulate (cash, stock etc); to rotate; turnover
许可,xǔkě,to allow; to permit
衣裳,yīshang,(coll.) clothes
鼓动,gǔdòng,to beat; to flap (wings, a fan etc); to urge (an activity that may be beneficial, harmful or neutral); to encourage; to agitate; to instigate; to incite
依旧,yījiù,as before; still
蚂蚁,mǎyǐ,ant
垄断,lǒngduàn,to monopolize
瀑布,pùbù,waterfall
一流,yīliú,front ranking; top quality
牢骚,láosāo,complaint; discontent; to complain
言论,yánlùn,arguments; expression of opinion; remarks; views
赌博,dǔbó,to gamble
造型,zàoxíng,appearance; design; form; pose; style; to model; to shape
监视,jiānshì,surveillance; to keep a close watch over; to monitor
终究,zhōngjiū,after all is said and done; in the end
货币,huòbì,currency; monetary; money
当代,dāngdài,the contemporary era; the present age
威风,wēifēng,awe-inspiring authority; impressive; might
隐私,yǐnsī,privacy; private business; secrets
轮船,lúnchuán,steamship; steamer; steamboat
代理,dàilǐ,(computing) proxy; surrogate; to act as an agent or proxy; to act on behalf of sb in a responsible position
运行,yùnxíng,(fig.) to function; to be in operation; (of a computer) to run; (of a train service etc) to operate; to run; to move along one's course (of celestial bodies etc)
麻醉,mázuì,anesthesia; to anesthetize; (fig.) to corrupt (sb's mind); to enervate; to numb the mind (to escape from harsh reality)
溶解,róngjiě,to dissolve
起初,qǐchū,at first; at the outset; originally
环节,huánjié,(fig.) a part of an integrated whole: aspect (of a project), element (of a policy), sector (of the economy), stage (of a process) etc; (zoology) segment (of the body of a worm, centipede etc)
锋利,fēnglì,incisive; sharp (e.g. knife blade); to the point
预期,yùqī,to anticipate; to expect
水泥,shuǐní,cement
烟花爆竹,yānhuābàozhú,fireworks (i.e. pyrotechnic devices, not the display they produce)
抱负,bàofù,ambition; aspiration
思念,sīniàn,to long for; to miss; to think of
孔,kǒng,classifier for cave dwellings; hole
生理,shēnglǐ,physiology
策略,cèlüè,crafty; adroit; strategy; tactics
周期,zhōuqī,cycle; period
温和,wēnhuo,lukewarm
温和,wēnhé,gentle; mild; moderate
金融,jīnróng,banking; finance; financial
心态,xīntài,attitude (of the heart); mentality; state of one's psyche; way of thinking
次品,cìpǐn,defective; seconds; substandard products
习俗,xísú,convention; custom; local tradition; tradition
滞留,zhìliú,(of a person) to remain in (a place) (due to circumstances that prevent one leaving); to be stranded; (of sth that would typically dissipate, e.g. floodwater, pollutants) to remain; to linger
启蒙,qǐméng,to instruct the young
启蒙,qǐméng,Western learning from the late Qing dynasty; enlightened; primer; the Enlightenment; to awake sb from ignorance; to free sb from prejudice or superstition; to initiate; to instruct the young
勤劳,qínláo,diligent; hardworking; industrious
眼光,yǎnguāng,foresight; gaze; insight; vision; way of looking at things
脱离,tuōlí,abjunction (botany); abscission; diastasis (medicine); to break away from; to separate oneself from
肆无忌惮,sìwújìdàn,absolutely unrestrained; unbridled; without the slightest scruple
扩张,kuòzhāng,dilation; expansion; to broaden; to expand (e.g. one's power or influence)
摆脱,bǎituō,to break away (from); to break away from; to break out (of); to cast off (old ideas etc); to extricate oneself; to free oneself from; to get rid of
将就,jiāngjiu,to accept (a bit reluctantly); to put up with
废墟,fèixū,ruins
颇,pō,considerably; inclined; oblique; quite; rather; slanting
捍卫,hànwèi,to defend; to safeguard; to uphold
卑鄙,bēibǐ,base; contemptible; despicable; mean
络绎不绝,luòyìbùjué,(idiom) continuously; in an endless stream
漫画,mànhuà,Japanese manga; caricature; cartoon
生疏,shēngshū,not accustomed; out of practice; strange; unfamiliar
危机,wēijī,crisis
砍伐,kǎnfá,to cut down; to hew
拣,jiǎn,to choose; to pick; to pick up; to sort out
恼火,nǎohuǒ,annoyed; riled; vexed
液体,yètǐ,liquid
场所,chǎngsuǒ,location; place
华侨,Huáqiáo,(in a restricted sense) Chinese emigrant who still retains Chinese nationality; overseas Chinese
实惠,shíhuì,advantageous (deal); cheap; economical; material advantages; substantial (discount); tangible benefit
蜡烛,làzhú,candle
包围,bāowéi,to encircle; to hem in; to surround
容貌,róngmào,features; looks; one's appearance; one's aspect
居民,jūmín,resident; inhabitant
追悼,zhuīdào,to mourn; to pay last respects
正义,zhèngyì,just; justice; righteous; righteousness
杰出,jiéchū,distinguished; illustrious; outstanding; prominent; remarkable
请教,qǐngjiào,to ask for guidance; to consult
耀眼,yàoyǎn,dazzling; to dazzle
蒸发,zhēngfā,evaporation; to evaporate
涌现,yǒngxiàn,to emerge in large numbers; to emerge prominently; to spring up
再接再厉,zàijiēzàilì,to continue the struggle (idiom); to persist; unremitting efforts
拽,zhuǎi,alternate writing of 跩[zhuai3]
拽,yè,to drag; to haul
拽,zhuài,to pull; to tug at (sth)
拽,zhuāi,to fling; to throw
掩盖,yǎngài,to conceal; to cover up; to hide behind
信仰,xìnyǎng,conviction; firm belief; to believe in (a religion)
识别,shíbié,to distinguish; to discern; to identify; to recognize
物美价廉,wùměijiàlián,a bargain; good quality and cheap
对立,duìlì,antithetical; diametrical; opposing; relative opposite; to be antagonistic to; to oppose; to set sth against
助理,zhùlǐ,assistant
空想,kōngxiǎng,daydream; fantasy; to fantasize
人质,rénzhì,hostage
成效,chéngxiào,effect; result
混淆,hùnxiáo,to blur; to confuse; to mislead; to mix up; to obscure
忍耐,rěnnài,endurance; patience; to bear with; to endure; to exercise patience; to restrain oneself
风趣,fēngqù,charm; humor; humorous; wit; witty
勘探,kāntàn,prospecting; to explore; to prospect (for oil etc); to survey
整顿,zhěngdùn,to consolidate; to rectify; to reorganize; to tidy up
用户,yònghù,consumer; customer; subscriber; user
融洽,róngqià,friendly relations; harmonious; on good terms with one another
苦尽甘来,kǔjìngānlái,bitterness finishes, sweetness begins (idiom); the hard times are over, the good times just beginning
配备,pèibèi,to allocate; to outfit with; to provide
知觉,zhījué,consciousness; perception
等候,děnghòu,to wait; to wait for
敬业,jìngyè,dedicated to one's work
敞开,chǎngkāi,to open wide; unrestrictedly
布置,bùzhì,to arrange; to decorate; to deploy; to fix up; to put in order
廉洁,liánjié,incorruptible; unbribable; honest
宣誓,xuānshì,to make a vow; to swear an oath (of office)
沉思,chénsī,contemplation; meditation; to contemplate; to ponder
反之,fǎnzhī,conversely...; on the other hand...
散发,sànfā,to distribute; to emit; to issue
沉淀,chéndiàn,sedimentation; to settle; to precipitate
完毕,wánbì,to complete; to end; to finish
丰满,Fēngmǎn,Fengman district of Jilin city 吉林市, Jilin province
丰满,fēngmǎn,ample; fully rounded; well developed
亏损,kuīsǔn,(financial) loss; deficit
犹如,yóurú,similar to; like
框架,kuàngjià,(construction) frame; (fig.) framework
停顿,tíngdùn,pause (in speech); to break off; to halt
欺骗,qīpiàn,to cheat; to deceive
卡通,kǎtōng,cartoon (loanword)
恍然大悟,huǎngrándàwù,to suddenly realize; to suddenly see the light
跳跃,tiàoyuè,to bound; to jump; to leap; to skip
承办,chéngbàn,to accept a contract; to undertake
端正,duānzhèng,correct; proper; regular; upright
幢,zhuàng,carriage curtain (old); classifier for buildings
幢,chuáng,banner
光彩,guāngcǎi,brilliance; luster; radiance; splendor
浑身,húnshēn,all over; from head to foot
坠,zhuì,to drop; to fall; to weigh down
平原,píngyuán,field; plain
中断,zhōngduàn,to break off; to cut short; to discontinue; to interrupt
婴儿,yīngér,baby; infant; lead (Pb)
朝代,cháodài,dynasty; reign (of a king)
福利,fúlì,(social) welfare; benefit in kind; material benefit
难能可贵,nánnéngkěguì,rare and precious; remarkable; valuable
支出,zhīchū,expenses; expenditure; to spend; to pay out
想方设法,xiǎngfāngshèfǎ,to think up every possible method (idiom); to devise ways and means; to try this, that and the other
野心,yěxīn,ambition; careerism; wild schemes
祖先,zǔxiān,(biology) ancestral species; ancient species from which present-day species evolved; ancestors; forebears
挑拨,tiǎobō,to incite disharmony; to instigate
孕育,yùnyù,fig. replete with (culture etc); to be pregnant; to nurture (a development, school of thought, artwork etc); to produce offspring
繁体字,fántǐzì,traditional Chinese character
就近,jiùjìn,in a close neighborhood; nearby
和蔼,héǎi,amiable; kindly; nice
气魄,qìpò,boldness; imposing attitude; positive outlook; spirit
启程,qǐchéng,to set out on a journey
挽回,wǎnhuí,to redeem; to retrieve
争议,zhēngyì,controversy; dispute; to dispute
平行,píngxíng,of equal rank; parallel; simultaneous
文凭,wénpíng,diploma
实质,shízhì,essence; substance
注重,zhùzhòng,to emphasize; to pay attention to
向来,xiànglái,always (previously)
脂肪,zhīfáng,fat (in the body, in a plant, or in food)
发炎,fāyán,inflammation; to become inflamed
哼,hēng,humph!; to croon; to groan; to hum; to snort
潮流,cháoliú,current; tide; trend
批判,pīpàn,critique; to criticize
人间,rénjiān,the earth; the human world
重心,zhòngxīn,center of gravity; central core; main part
本人,běnrén,I; me; myself; oneself; yourself; himself; herself; the person concerned
致使,zhìshǐ,to cause; to result in
跟前,gēnqian,(of children, parents etc) at one's side; living with one
跟前,gēnqián,(in) front; (in) sb's presence; just before (a date); the front (of)
转移,zhuǎnyí,(fig.) to shift (attention); to change (the subject etc); (medicine) to metastasize; to shift; to relocate; to transfer
侃侃而谈,kǎnkǎnértán,to speak frankly with assurance
回顾,huígù,to look back; to review
演绎,yǎnyì,(logic) to deduce; (of a story etc) to unfold; to develop (a technique etc); to enact; to infer; to play out
档案,dàngàn,archive; file; record
便利,biànlì,convenient; easy; to facilitate
角落,jiǎoluò,nook; corner
空白,kòngbái,blank space
外行,wàiháng,amateur; layman
精密,jīngmì,accuracy; exact; precise; refined
答复,dáfù,Reply to: (in email header); to answer; to reply
捎,shāo,to bring sth to sb; to deliver
呻吟,shēnyín,to groan; to moan
现成,xiànchéng,readily available; ready-made
贿赂,huìlù,a bribe; to bribe
元素,yuánsù,(chemistry) element; (math.) element (member of a set); element (key component of sth)
拜访,bàifǎng,to pay a visit; to call on
按摩,ànmó,massage; to massage
调节,tiáojié,to adjust; to harmonize; to reconcile (accountancy etc); to regulate
霸道,bàdào,(of liquor, medicine etc) strong; despotic rule; evil as opposed to the Way of the King 王道; overbearing; potent; rule by might; the Way of the Hegemon; tyranny
粉碎,fěnsuì,to crush; to smash; to shatter
搓,cuō,to rub or roll between the hands or fingers; to twist
职位,zhíwèi,position; post; job
舟,zhōu,boat
计较,jìjiào,plan; stratagem; to argue; to bicker; to bother about; to haggle
愚蠢,yúchǔn,silly; stupid
条约,tiáoyuē,pact; treaty
拥有,yōngyǒu,to have; to possess
琢磨,zhuómó,to carve and polish (jade); to polish and refine a literary work
琢磨,zuómo,to mull over; to ponder; to think through
疾病,jíbìng,disease; sickness; ailment
肿瘤,zhǒngliú,tumor
为期,wéiqī,(to be done) by (a certain date); lasting (a certain time)
视线,shìxiàn,line of sight
章程,zhāngchéng,articles of association (of company); articles of incorporation; by-laws; charter (of a corporation); constitution; regulations; rules; statute
作息,zuòxī,to work and rest
饮食,yǐnshí,eating and drinking; food and drink; diet
坑,kēng,(archaic) to bury alive; pit; depression; hollow; to hoodwink; to cheat (sb); tunnel; hole in the ground
玩弄,wánnòng,to dally with; to engage in; to play with; to resort to; to toy with
痕迹,hénjì,mark; trace; vestige
盛产,shèngchǎn,to be rich in; to produce in abundance
清醒,qīngxǐng,awake; clear-headed; sober
不由得,bùyóude,can't help; cannot but
僵硬,jiāngyìng,stiff; rigid
辽阔,liáokuò,vast; extensive
暂且,zànqiě,for now; for the time being; temporarily
患者,huànzhě,patient; sufferer
哇,wa,replaces 啊[a5] when following the vowel "u" or "ao"
哇,wā,Wow!; sound of a child's crying; sound of vomiting
礼节,lǐjié,etiquette
闭塞,bìsè,blocking; hard to get to; inaccessible; out of the way; to close up; to stop up; unenlightened
简体字,jiǎntǐzì,simplified Chinese character, as opposed to traditional Chinese character 繁體字|繁体字[fan2 ti3 zi4]
思维,sīwéi,(line of) thought; thinking
容忍,róngrěn,to put up with; to tolerate
朴素,pǔsù,not frivolous; plain and simple; simple living; unadorned
真理,zhēnlǐ,truth
里程碑,lǐchéngbēi,milestone
策划,cèhuà,planner; planning; producer; to bring about; to engineer; to plot; to scheme
黎明,límíng,dawn; daybreak
还原,huányuán,reduction (chemistry); to reconstruct (an event); to restore to the original state
问世,wènshì,to be published; to come out
压迫,yāpò,oppression; stress (physics); to constrict; to oppress; to repress
扑,pū,to bend over; to dab; to devote one's energies; to flap; to flutter; to pat; to pounce on; to throw oneself at
棉花,miánhua,cotton
谴责,qiǎnzé,condemnation; criticism; to condemn; to criticize; to denounce
割,gē,to cut; to cut apart
遭遇,zāoyù,(bitter) experience; to encounter; to meet with
备忘录,bèiwànglù,aide-memoire; memorandum; memorandum book
风光,fēngguāng,grand (dialect); impressive (dialect); landscape; scene; sight; to be well-off; to be well-regarded; view
职务,zhíwù,duties; job; position; post
人工,réngōng,artificial; manpower; manual work
交易,jiāoyì,to deal; to trade; to transact; transaction; deal
理直气壮,lǐzhíqìzhuàng,in the right and self-confident (idiom); bold and confident with justice on one's side; just and forceful; to have the courage of one's convictions
粒,lì,classifier for small round things (peas, bullets, peanuts, pills, grains etc); grain; granule
灌溉,guàngài,to irrigate
弊病,bìbìng,disadvantage; drawback; evil; malady; malpractice
拥护,yōnghù,to endorse; to support
羽绒服,yǔróngfú,down-filled garment
人性,rénxìng,human; human nature; humanity; the totality of human attributes
攀登,pāndēng,fig. to forge ahead in the face of hardships and danger; to clamber; to climb; to pull oneself up; to scale
表决,biǎojué,to decide by vote; to vote
学说,xuéshuō,doctrine; theory
交叉,jiāochā,to cross; to intersect; to overlap
树立,shùlì,to establish; to set up
天才,tiāncái,genius; gift; gifted; talent; talented
屡次,lücì,repeatedly; time and again
给予,jǐyǔ,(literary) to give; to accord; to render
人家,rénjia,I, me (referring to oneself as "one" or "people"); he, she or they; other people; sb else
人家,rénjiā,dwelling; family; house of woman's husband-to-be; household; household business; sb else's house
摄氏度,Shèshìdù,°C (degrees Celsius)
宇宙,yǔzhòu,cosmos; universe
颁布,bānbù,to enact (laws, decrees etc); to issue; to proclaim
保管,bǎoguǎn,certainly; curator; custodian; surely; to guarantee; to have in one's care; to hold in safekeeping
精致,jīngzhì,delicate; exquisite; fine; refined
过度,guòdù,excess; excessive; extravagant; going too far; intemperate; over-; overdue
报销,bàoxiāo,to apply for reimbursement; to submit an expense account; to wipe out; to write off
钻研,zuānyán,to delve into; to study meticulously
中央,zhōngyāng,center; central; central authorities (of a state); middle
自主,zìzhǔ,autonomous; independent; to act for oneself
检讨,jiǎntǎo,review; self-criticism; to examine or inspect
胆怯,dǎnqiè,cowardly; timid; timidity
南辕北辙,nányuánběizhé,to act in a way that defeats one's purpose (idiom)
永恒,yǒnghéng,eternal; everlasting; fig. to pass into eternity (i.e. to die)
袭击,xíjī,attack (esp. surprise attack); raid; to attack
糟蹋,zāotà,also pr. [zao1 ta5]; to abuse; to defile; to insult; to trample on; to waste; to wreck
端午节,Duānwǔjié,Dragon Boat Festival (5th day of the 5th lunar month)
裁员,cáiyuán,to cut staff; to lay off employees
争夺,zhēngduó,to contest; to fight over; to vie over
社区,shèqū,community; neighborhood
姿态,zītài,attitude; posture; stance
抚养,fǔyǎng,to bring up; to foster; to raise
遏制,èzhì,to check; to constrain; to contain; to hold back; to keep within limits; to restrain
修复,xiūfù,(computing) to repair (a corrupted file etc); to restore; to renovate
论证,lùnzhèng,proof; to demonstrate or prove (through argument); to expound on; to prove a point
尊严,zūnyán,dignity; honor; majesty; sanctity
前提,qiántí,precondition; premise; prerequisite
据悉,jùxī,according to reports; it is reported (that)
类似,lèisì,analogous; similar
家喻户晓,jiāyùhùxiǎo,a household name; understood by everyone (idiom); well known
盈利,yínglì,gain; profit; to make profits
贬义,biǎnyì,derogatory sense; negative connotation
细胞,xìbāo,cell (biology)
眯,mī,(dialect) to take a nap; to narrow one's eyes; to squint
眯,mí,to blind (as with dust)
仪器,yíqì,instrument; apparatus
艘,sōu,classifier for ships
保守,bǎoshǒu,conservative; to guard; to keep
财政,cáizhèng,finances (public); financial
威望,wēiwàng,prestige
演变,yǎnbiàn,to develop; to evolve
设想,shèxiǎng,tentative plan; to assume; to envisage; to have consideration for; to imagine
信赖,xìnlài,to have confidence in; to have faith in; to rely on; to trust
情报,qíngbào,information; intelligence
体面,tǐmiàn,(of sb's appearance) presentable; respectable; dignity; prestige; face; honorable; creditable
执行,zhíxíng,to carry out; to execute; to implement; to run
后顾之忧,hòugùzhīyōu,fears of trouble in the rear (idiom); family worries (obstructing freedom of action); often in negative expressions, meaning "no worries about anything"; worries about the future consequences
应酬,yìngchou,dinner party; banquet; social engagement; to engage in social activities; to socialize
衰退,shuāituì,a decline; recession (in economics); to decline; to drop; to fall; to falter
海滨,hǎibīn,seaside; shore
手势,shǒushì,gesture; sign; signal
覆盖,fùgài,to cover
胜负,shèngfù,the outcome of a battle; victory or defeat
引导,yǐndǎo,introduction; primer; to boot; to conduct; to guide; to lead (around)
通货膨胀,tōnghuòpéngzhàng,inflation
吉祥,jíxiáng,auspicious; lucky; propitious
解雇,jiěgù,to dismiss; to fire; to sack; to terminate employment
收音机,shōuyīnjī,radio
棕色,zōngsè,brown
贫乏,pínfá,deficiency; deficient; impoverished; impoverishment; lack; lacking; limited; meager
严寒,yánhán,bitter cold; severe winter
较量,jiàoliàng,battle; contest; to compete with sb; to haggle; to pit oneself against sb; to quibble
规范,guīfàn,norm; regulation; rule; specification; standard; to fix rules; to regulate; to specify; within the rules
资产,zīchǎn,assets; property
丛,cóng,cluster; collection; collection of books; thicket
舰艇,jiàntǐng,naval vessel; warship
运算,yùnsuàn,(mathematical) operation; to perform calculations
导向,dǎoxiàng,orientation; to be oriented towards
线索,xiànsuǒ,clues; thread (of a story); trail
灵魂,línghún,soul; spirit
派遣,pàiqiǎn,to send (on a mission); to dispatch
缺陷,quēxiàn,defect; flaw
投降,tóuxiáng,to surrender
垫,diàn,cushion; mat; pad; to advance (money); to fill a gap; to pad out; to pay for sb
澄清,chéngqīng,clear (of liquid); limpid; to be clear (about the facts); to clarify; to make sth clear
澄清,dèngqīng,precipitate (chemistry); to become clear (by precipitation of impurities); to put in order; to quell disturbances; to settle (of liquid)
访问,fǎngwèn,to call on; to interview; to visit
生态,shēngtài,ecology
淘汰,táotài,(fig.) to cull; to die out; to eliminate; to phase out; to wash out; to weed out
发行,fāxíng,to distribute (a film); to issue (stocks, currency etc); to publish; to release
蹦,bèng,to bounce; to hop; to jump
尝试,chángshì,to try; to attempt
推理,tuīlǐ,inference; reasoning; to deduce; to infer
神气,shénqì,expression; impressive; lofty; manner; pretentious; vigorous
粉色,fěnsè,beautiful woman; erotic; pink; powdered (with make-up); white
喘气,chuǎnqì,to breathe deeply; to pant; to gasp; to take a breather; to catch one's breath
神圣,shénshèng,divine; hallow; holy; sacred
意图,yìtú,intent; intention; to intend
勇于,yǒngyú,to be brave enough to; to dare to
暧昧,àimèi,ambiguous; dubious; equivocal; vague
元宵节,Yuánxiāojié,Lantern Festival, the final event of the Spring Festival 春節|春节, on 15th of first month of the lunar calendar
遍布,biànbù,to be found throughout; to cover the whole (area)
自力更生,zìlìgēngshēng,regeneration through one's own effort (idiom); self-reliance
茫茫,mángmáng,boundless; vast and obscure
率领,shuàilǐng,to command; to head; to lead
井,Jǐng,Jing, one of the 28 constellations of Chinese astronomy
井,jǐng,a well; neat; orderly
哆嗦,duōsuo,to shiver; to tremble; uncontrolled shaking of the body
忌讳,jìhuì,taboo; to abstain from; to avoid as taboo
资助,zīzhù,subsidy; to provide financial aid; to subsidize
演习,yǎnxí,exercise; maneuver; practice; to maneuver
忽略,hūlüè,to neglect; to overlook; to ignore
额外,éwài,added; additional; extra
打猎,dǎliè,to go hunting
革命,gémìng,revolution; revolutionary; to revolt (against sb or sth); to revolutionize (sth); to withdraw the mandate of heaven (and transition to a new dynasty) (original meaning)
发射,fāshè,emanation; emission; to discharge; to emit (a particle); to fire (a rocket); to launch; to shoot (a projectile)
武器,wǔqì,arms; weapon
田径,tiánjìng,track and field (athletics)
一向,yīxiàng,a period of time in the recent past; always (previously)
反感,fǎngǎn,antipathy; bad reaction; to be disgusted with; to dislike
坚固,jiāngù,firm; firmly; hard; stable
突破,tūpò,(sports) to break through the opponent's defense; to break through; to make a breakthrough; to surmount (an obstacle)
验收,yànshōu,acceptance; to inspect and accept
举足轻重,jǔzúqīngzhòng,influential; to play a critical role (idiom)
赞叹,zàntàn,to exclaim in admiration
高涨,gāozhǎng,(of tensions etc) to run high; to rise; to surge up
充足,chōngzú,abundant; adequate; sufficient
周年,zhōunián,anniversary; annual
棍棒,gùnbàng,club; staff; stick
胡须,húxū,beard
成员,chéngyuán,member
启示,qǐshì,enlightenment; illumination; lesson; moral (of a story etc); revelation; to enlighten; to reveal
规格,guīgé,norm; specification; standard
巴不得,bābude,(coll.) to be eager for; to long for; to look forward to
官方,guānfāng,government; official (approved or issued by an authority)
兴旺,xīngwàng,prosperous; thriving; to flourish; to prosper
正月,Zhēngyuè,first month of the lunar year
连同,liántóng,along with; together with
推销,tuīxiāo,to market; to sell
牲畜,shēngchù,domesticated animals; livestock
骚扰,sāorǎo,to cause a commotion; to disturb; to harass
截至,jiézhì,by (a time); up to (a time)
散布,sànbù,to disseminate
皇后,huánghòu,empress; imperial consort
播种,bōzhǒng,to sow seeds
播种,bōzhòng,to grow (maize etc) from seed; to plant (maize etc) by sowing seed
夫妇,fūfù,a (married) couple; husband and wife
隔阂,géhé,(language etc) barrier; estrangement; misunderstanding
同志,tóngzhì,(slang) homosexual; comrade
恰巧,qiàqiǎo,by chance; as chance would have it
迟疑,chíyí,to hesitate
扎实,zhāshi,firm; practical; solid; strong; sturdy
不堪,bùkān,cannot bear; cannot stand; extremely; utterly
进攻,jìngōng,assault; attack; offense (sports); to assault; to attack; to go on the offensive
一丝不苟,yīsībùgǒu,meticulous; not one hair out of place; not one thread loose (idiom); strictly according to the rules
巡逻,xúnluó,to patrol (police, army or navy)
喂,wèi,to feed
喂,wéi,hello (when answering the phone)
喂,wèi,hey; to feed (an animal, baby, invalid etc)
往常,wǎngcháng,customary; usual
晋升,jìnshēng,to promote to a higher position
阵地,zhèndì,(military) position; front
附属,fùshǔ,affiliated; attached; auxiliary; subordinate; subordinating; subsidiary
皱纹,zhòuwén,wrinkle
报仇,bàochóu,to avenge; to take revenge
局部,júbù,local; part
毁灭,huǐmiè,to destroy; to perish; to ruin
遥控,yáokòng,to direct operations from a remote location; to remotely control
奔驰,Bēnchí,Benz (name); Mercedes-Benz, German car maker
奔驰,bēnchí,to gallop; to run quickly; to speed
扒,pá,to braise; to crawl; to rake up; to steal
扒,bā,to cling to (sth on which one is climbing); to dig; to peel; to pull down; to skin; to tear
污蔑,wūmiè,to slander; to smear; to tarnish
化验,huàyàn,chemical examination; to do a lab test
堤坝,dībà,dam; dike
死亡,sǐwáng,death; to die
合成,héchéng,compound; mixture; synthesis; synthetic; to compose; to constitute
成交,chéngjiāo,to complete a contract; to reach a deal
嚷,rǎng,to bellow; to make a big deal of sth; to make a fuss about sth; to shout
撤退,chètuì,to retreat
急功近利,jígōngjìnlì,seeking instant benefit (idiom); shortsighted vision, looking only for fast return
战略,zhànlüè,strategy
隐瞒,yǐnmán,to conceal; to cover up the truth; to hide (a taboo subject)
盛情,shèngqíng,great kindness; magnificent hospitality
报酬,bàochou,remuneration; reward
荤,hūn,non-vegetarian food (meat, fish etc); obscene; strong-smelling vegetable (garlic etc); vulgar
负担,fùdān,burden; to bear (an expense, a responsibility etc)
调剂,tiáojì,to adjust; to balance; to make up a medical prescription
辉煌,huīhuáng,glorious; splendid
嗨,hāi,a high (natural or drug-induced) (loanword); hey!; hi! (loanword); oh alas
点缀,diǎnzhuì,only for show; sprinkled; studded; to adorn; to decorate
情理,qínglǐ,reason; sense
仪式,yíshì,ceremony
证书,zhèngshū,certificate; credentials
零星,língxīng,bits and pieces; fragmentary; random; sporadic
